Id,OwnerId,IsDeleted,Name,CurrencyIsoCode,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Tour__c,Date__c,Home_Team__c,Away_Team__c,Team_Home__c,Team_Away__c,Country__c,Scored__c,Conceded__c,Total__c,Result__c,Scored_half_1__c,Conceded_half_1__c,Total_half_1__c,Result_half_1__c,Scored_half_2__c,Conceded_half_2__c,Total_half_2__c,Result_half_2__c
,,,,,,,,,,,14/06/2020,Ruh Brest,Vitebsk,a2U6F000002L7xGUAS,a2U6F000002L7xQUAS,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,14/06/2020,BGU Minsk,Belshina,a2U6F000002L7xEUAS,a2U6F000002L7xVUAS,Belarus,0,1,1,-1,0,0,0,0,0,1,1,-1
,,,,,,,,,,,15/05/2020,Belaz Zhodino,Gorodeya,a2U6F000002L7xDUAS,a2U6F000002L7xaUAC,Belarus,3,1,4,2,1,0,1,1,2,1,3,1
,,,,,,,,,,,16/04/2020,Dinamo Minsk,Neman,a2U6F000002L7xMUAS,a2U6F000002L7xYUAS,Belarus,2,0,2,2,0,0,0,0,2,0,2,2
,,,,,,,,,,,16/04/2020,BGU Minsk,Gorodeya,a2U6F000002L7xEUAS,a2U6F000002L7xaUAC,Belarus,0,1,1,-1,0,1,1,-1,0,0,0,0
,,,,,,,,,,,16/05/2020,Bate Borisov,Slutsk,a2U6F000002L7xFUAS,a2U6F000002L7xLUAS,Belarus,3,0,3,3,2,0,2,2,1,0,1,1
,,,,,,,,,,,16/05/2020,Soligorsk,Slavia Mozyr,a2U6F000002L7xWUAS,a2U6F000002L7xRUAS,Belarus,2,0,2,2,1,0,1,1,1,0,1,1
,,,,,,,,,,,16/05/2020,BGU Minsk,Dinamo Brest,a2U6F000002L7xEUAS,a2U6F000002L7xXUAS,Belarus,2,1,3,1,1,0,1,1,1,1,2,0
,,,,,,,,,,,17/04/2020,Soligorsk,Slutsk,a2U6F000002L7xWUAS,a2U6F000002L7xLUAS,Belarus,1,2,3,-1,0,2,2,-2,1,0,1,1
,,,,,,,,,,,17/04/2020,Belshina,Smolevichi,a2U6F000002L7xVUAS,a2U6F000002L7xCUAS,Belarus,1,1,2,0,0,0,0,0,1,1,2,0
