Рабочий телефон HTC Sensation XE beats audio,600 ,Юго-Западная,https://avito.ru/moskva/telefony/rabochiy_telefon_htc_sensation_xe_beats_audio_2011618977
Телефон HTC,550 ,Славянский бульвар,https://avito.ru/moskva/telefony/telefon_htc_1920368115
HTC U11 Plus translucent black RAM 6gb 128 gb,19 500 ,Водный стадион,https://avito.ru/moskva/telefony/htc_u11_plus_translucent_black_ram_6gb_128_gb_1467780891
HTC One mini,2 000 ,Бабушкинская,https://avito.ru/moskva/telefony/htc_one_mini_1967652435
HTC One Rus 32gb,4 100 ,Павелецкая,https://avito.ru/moskva/telefony/htc_one_rus_32gb_1960465399
HTC 10,1 000 ,Выхино,https://avito.ru/moskva/telefony/htc_10_1918572820
HTC One m7 (Dual-Sim) 32 gb,3 500 ,Бибирево,https://avito.ru/moskva/telefony/htc_one_m7_dual-sim_32_gb_1955775044
HTC U11 6/128. под восстановление или на з/ч,7 000 ,ВДНХ,https://avito.ru/moskva/telefony/htc_u11_6128._pod_vosstanovlenie_ili_na_zch_1928794852
Телефон HTC 616,1 200 ,Киевская,https://avito.ru/moskva/telefony/telefon_htc_616_809745379
HTC Wildfire S,700 ,Красногвардейская,https://avito.ru/moskva/telefony/htc_wildfire_s_1883374926
HTC One dual sim,1 500 ,Университет,https://avito.ru/moskva/telefony/htc_one_dual_sim_1950134953
Телефон HTC,700 ,Автозаводская,https://avito.ru/moskva/telefony/telefon_htc_1960301575
HTC Desire 820G dual sim,4 000 ,Юго-Восточная,https://avito.ru/moskva/telefony/htc_desire_820g_dual_sim_1994029790
HTC One Dual sim,2 500 ,Дмитровская,https://avito.ru/moskva/telefony/htc_one_dual_sim_1963624407
HTC Desire S,300 ,Речной вокзал,https://avito.ru/moskva/telefony/htc_desire_s_2001638272
Телефон HTC desire 526g dual sim,400 ,Улица Дмитриевского,https://avito.ru/moskva/telefony/telefon_htc_desire_526g_dual_sim_1973378492
HTC U Play,6 000 ,Автозаводская,https://avito.ru/moskva/telefony/htc_u_play_1894846513
HTC,500 ,Селигерская,https://avito.ru/moskva/telefony/htc_645169845
HTC Diamond 3700,2 300 ,Площадь революции,https://avito.ru/moskva/telefony/htc_diamond_3700_1919305574
"HTC для разработчиков, прототип",3 000 ,Зеленоград,https://avito.ru/moskva_zelenograd/telefony/htc_dlya_razrabotchikov_prototip_1260614472?slocation=637640
HTC Desire HD A9191,750 ,Бабушкинская,https://avito.ru/moskva/telefony/htc_desire_hd_a9191_1873865780
HTC one mini 2 16GB,4 000 ,Коньково,https://avito.ru/moskva/telefony/htc_one_mini_2_16gb_2001149677
Телефон HTC Desire 326G dual sim,3 500 ,Фрунзенская,https://avito.ru/moskva/telefony/telefon_htc_desire_326g_dual_sim_1933742146
HTC U Play 32gb,5 500 ,Первомайская,https://avito.ru/moskva/telefony/htc_u_play_32gb_1955062844
HTC Desire 326G Dual Sim,2 000 ,Мичуринский проспект,https://avito.ru/moskva/telefony/htc_desire_326g_dual_sim_1975060424
HTC One (M8) Dual Sim,6 000 ,Свиблово,https://avito.ru/moskva/telefony/htc_one_m8_dual_sim_1189355729
Htc desire c,3 000 ,Бабушкинская,https://avito.ru/moskva/telefony/htc_desire_c_1277619899
HTC Desire 626G нижняя плата и другие запчасти,280 ,Комсомольская,https://avito.ru/moskva/telefony/htc_desire_626g_nizhnyaya_plata_i_drugie_zapchasti_939682706
Телефон HTC,2 500 ,Первомайская,https://avito.ru/moskva/telefony/telefon_htc_1973903188
HTC Desire 820 (на запчасти),3 500 ,Печатники,https://avito.ru/moskva/telefony/htc_desire_820_na_zapchasti_1873749480
HTC one A9,7 000 ,Войковская,https://avito.ru/moskva/telefony/htc_one_a9_1795768252
HTC EVO 3D (ростест),6 700 ,Новогиреево,https://avito.ru/moskva/telefony/htc_evo_3d_rostest_790320478
HTC Diamond 2,800 ,Фили,https://avito.ru/moskva/telefony/htc_diamond_2_1474869586
